Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1692, Accuracy: 46.33%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7869, Accuracy: 16.53%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6402, Accuracy: 35.92%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1472, Accuracy: 53.88%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1710, Accuracy: 41.84%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0679, Accuracy: 54.90%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0265, Accuracy: 56.53%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0278, Accuracy: 57.14%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0160, Accuracy: 56.33%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0265, Accuracy: 57.14%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0382, Accuracy: 55.71%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0605, Accuracy: 54.29%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1298, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2313, Accuracy: 48.78%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4507, Accuracy: 46.33%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1384, Accuracy: 49.59%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0919, Accuracy: 47.35%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0852, Accuracy: 51.84%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0694, Accuracy: 52.86%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0780, Accuracy: 52.24%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0109, Accuracy: 56.53%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0307, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0214, Accuracy: 56.53%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0210, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0889, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1253, Accuracy: 55.31%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2002, Accuracy: 52.86%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1247, Accuracy: 50.82%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1113, Accuracy: 50.41%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0501, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0516, Accuracy: 54.49%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0774, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0634, Accuracy: 51.43%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1221, Accuracy: 54.08%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1842, Accuracy: 50.00%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2414, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5395, Accuracy: 26.12%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.9155, Accuracy: 27.96%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5838, Accuracy: 27.55%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1504, Accuracy: 46.53%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1736, Accuracy: 46.33%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0536, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0654, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0279, Accuracy: 55.10%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0117, Accuracy: 55.71%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0582, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0711, Accuracy: 54.29%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0765, Accuracy: 55.71%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1660, Accuracy: 50.61%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2856, Accuracy: 50.41%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.5269, Accuracy: 28.78%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0801, Accuracy: 55.10%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1430, Accuracy: 51.22%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0773, Accuracy: 52.65%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0201, Accuracy: 55.71%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0382, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 0.9931, Accuracy: 56.33%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0476, Accuracy: 55.10%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0641, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0572, Accuracy: 54.29%
Batch Size: 16, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1100, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1477, Accuracy: 52.04%
Batch Size: 64, Hidden Layers: [8], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2302, Accuracy: 50.61%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1261, Accuracy: 54.08%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0938, Accuracy: 50.82%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1087, Accuracy: 52.04%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0419, Accuracy: 56.12%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0336, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0412, Accuracy: 53.47%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0864, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1088, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2139, Accuracy: 52.24%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.4901, Accuracy: 42.65%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6721, Accuracy: 29.39%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.8212, Accuracy: 10.82%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1278, Accuracy: 52.65%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0662, Accuracy: 56.53%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0900, Accuracy: 52.24%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0542, Accuracy: 55.51%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0180, Accuracy: 58.78%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 0.9964, Accuracy: 55.51%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0382, Accuracy: 55.10%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0547, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0440, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1231, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2451, Accuracy: 52.65%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4064, Accuracy: 50.00%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1554, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1420, Accuracy: 51.43%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1449, Accuracy: 46.73%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0390, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0421, Accuracy: 54.49%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0251, Accuracy: 57.14%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0194, Accuracy: 58.16%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0255, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0378, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0787, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0940, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [8], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1827, Accuracy: 55.51%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.2645, Accuracy: 42.24%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1298, Accuracy: 50.82%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1654, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0863, Accuracy: 55.51%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0981, Accuracy: 50.20%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0725, Accuracy: 55.10%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0901, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0997, Accuracy: 54.29%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1679, Accuracy: 54.90%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5397, Accuracy: 48.37%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7556, Accuracy: 17.14%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5914, Accuracy: 34.90%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1078, Accuracy: 52.24%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1303, Accuracy: 50.41%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1009, Accuracy: 52.45%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0839, Accuracy: 52.65%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0772, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0659, Accuracy: 54.29%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0741, Accuracy: 53.88%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0763, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0709, Accuracy: 53.47%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1059, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1944, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.5519, Accuracy: 39.80%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.2162, Accuracy: 46.33%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1396, Accuracy: 52.86%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0956, Accuracy: 52.45%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0774, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0764, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0673, Accuracy: 54.29%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0759, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0771, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0682, Accuracy: 53.27%
Batch Size: 16, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0894, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0993, Accuracy: 54.29%
Batch Size: 64, Hidden Layers: [8], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1538, Accuracy: 54.49%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0473, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0362, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0459, Accuracy: 53.27%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0141, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0182, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0418, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1259, Accuracy: 54.49%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2554, Accuracy: 49.59%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.3867, Accuracy: 49.59%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7928, Accuracy: 16.53%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7018, Accuracy: 47.76%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7822, Accuracy: 0.41%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1124, Accuracy: 47.76%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0873, Accuracy: 50.61%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0703, Accuracy: 57.35%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0081, Accuracy: 56.33%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0454, Accuracy: 56.12%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 0.9822, Accuracy: 56.94%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0300, Accuracy: 56.33%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0486, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0700, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2606, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.3970, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.5929, Accuracy: 40.20%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0484, Accuracy: 53.88%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1072, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0510, Accuracy: 52.86%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0485, Accuracy: 55.31%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0442, Accuracy: 57.96%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0249, Accuracy: 56.94%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0040, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0141, Accuracy: 55.31%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0342, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1419, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2199, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [8], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.3486, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1501, Accuracy: 45.51%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0827, Accuracy: 52.45%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0633, Accuracy: 54.69%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0336, Accuracy: 54.49%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0605, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0548, Accuracy: 52.86%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1249, Accuracy: 52.04%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1397, Accuracy: 51.43%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2029, Accuracy: 47.55%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.4038, Accuracy: 49.39%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5207, Accuracy: 43.88%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6768, Accuracy: 32.24%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1410, Accuracy: 51.84%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1090, Accuracy: 49.80%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0495, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0167, Accuracy: 57.76%
Batch Size: 32, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0233, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4, 8], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0162, Accuracy: 54.69%
Batch Size: 16, Hidden Layers: [4, 8], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0384, Accuracy: 55.71%
